category,image,no_review,price,rating,stock,title,upc,url
Poetry,http://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,0,£33.63,Two,In stock,You can't bury them all: Poems,55f9da0c5eea2e10,you-cant-bury-them-all-poems_961/index.html
Default,http://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,0,£18.02,Two,In stock,Maude (1883-1993):She Grew Up with the country,094b269567e1c300,maude-1883-1993she-grew-up-with-the-country_964/index.html
Default,http://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,0,£33.29,Three,In stock,Penny Maybe,668fe56b17cfcd4f,penny-maybe_965/index.html
Philosophy,http://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,0,£15.94,Five,In stock,Sophie's World,6be3beb0793a53e7,sophies-world_966/index.html
Childrens,http://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,0,£36.89,One,In stock,The Bear and the Piano,9f6568e9c95f60b0,the-bear-and-the-piano_967/index.html
Default,http://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,0,£22.50,Three,In stock,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,c7d160c2c0de586f,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Politics,http://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,0,£51.33,Two,In stock,Libertarianism for Beginners,a18a4f574854aced,catalogue/libertarianism-for-beginners_982/index.html
Poetry,http://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,0,£57.31,Three,In stock,Slow States of Collapse: Poems,b4fd5943413e089a,slow-states-of-collapse-poems_960/index.html
New Adult,http://books.toscrape.com/media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg,0,£45.07,Two,In stock,Without Borders (Wanderlove #1),acddfeab2a407640,without-borders-wanderlove-1_956/index.html
Nonfiction,http://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,0,£26.41,Two,In stock,Reasons to Stay Alive,c8f7f0cb1abb9cac,reasons-to-stay-alive_959/index.html
Nonfiction,http://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,0,£23.11,Five,In stock,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,c27f6e1f185b0383,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Fiction,http://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,0,£47.61,Five,In stock,Private Paris (Private #10),b12b89017878a60d,private-paris-private-10_958/index.html
Poetry,http://books.toscrape.com/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,0,£14.27,Four,In stock,Untitled Collection: Sabbath Poems 2014,657fe5ead67a7767,untitled-collection-sabbath-poems-2014_953/index.html
Nonfiction,http://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,0,£44.18,Four,In stock,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",d170b5a0da46380e,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Fiction,http://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,0,£50.27,Five,In stock,"We Love You, Charlie Freeman",8d455c7539795d2a,we-love-you-charlie-freeman_954/index.html
Contemporary,http://books.toscrape.com/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg,0,£31.77,One,In stock,When We Collided,3ecb690d1542c568,when-we-collided_955/index.html
Nonfiction,http://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,0,£31.12,Three,In stock,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,7858914fad68493c,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
Sequential Art,http://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,0,£19.49,Four,In stock,This One Summer,51653ef291ab7ddc,this-one-summer_947/index.html
Sequential Art,http://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,0,£16.28,One,In stock,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),09555be379ad9253,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
History,http://books.toscrape.com/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg,0,£25.52,One,In stock,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",9a9d6e9bc555731e,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Mystery,http://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,0,£56.50,Four,In stock,The Past Never Ends,5ee94540d0749ea0,the-past-never-ends_942/index.html
Food and Drink,http://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg,0,£56.41,One,In stock,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",142d767a56a9254d,the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
Young Adult,http://books.toscrape.com/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,0,£45.22,Three,In stock,The Natural History of Us (The Fine Art of Pretending #2),cedf82b5086e4691,the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
Childrens,http://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg,0,£56.13,One,In stock,The Secret of Dreadwillow Carse,b5ea0b5dabed25a8,the-secret-of-dreadwillow-carse_944/index.html
Fantasy,http://books.toscrape.com/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,0,£18.78,Three,In stock,Unicorn Tracks,7ae099f3898e0209,unicorn-tracks_951/index.html
Fiction,http://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,0,£17.27,Five,In stock,Thirst,709822d0b5bcb7f4,thirst_946/index.html
Add a comment,http://books.toscrape.com/media/cache/33/e5/33e507172541628acfd421503196b578.jpg,0,£19.09,One,In stock,The Torch Is Passed: A Harding Family Story,4eed62cf5f8d8edf,the-torch-is-passed-a-harding-family-story_945/index.html
Add a comment,http://books.toscrape.com/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg,0,£23.89,Four,In stock,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",31075275518532d7,the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
Science,http://books.toscrape.com/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg,0,£42.96,Four,In stock,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,aadee1c326d286e3,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
Nonfiction,http://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg,0,£16.77,Three,In stock,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,0da9aa9d24677fc0,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
Nonfiction,http://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg,0,£56.06,One,In stock,The Electric Pencil: Drawings from Inside State Hospital No. 3,a30b270e25489e5c,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
Health,http://books.toscrape.com/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg,0,£49.05,Three,In stock,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",43c6a960757cf559,the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
Philosophy,http://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,0,£58.11,Four,In stock,The Death of Humanity: and the Case for Life,bd261725b99f5983,the-death-of-humanity-and-the-case-for-life_932/index.html
Sequential Art,http://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,0,£38.16,Four,In stock,The Nameless City (The Nameless City #1),7d385d34d12e60ff,the-nameless-city-the-nameless-city-1_940/index.html
Nonfiction,http://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg,0,£37.13,One,In stock,The Gutsy Girl: Escapades for Your Life of Epic Adventure,acd86a5426e21ca0,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
Default,http://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg,0,£20.59,Five,In stock,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",8c9e6bf2467d740d,the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
Nonfiction,http://books.toscrape.com/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg,0,£41.83,Four,In stock,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,87b0615b6e1f4d7b,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Fiction,http://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,0,£54.11,Three,In stock,The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2,the-murder-that-never-was-forensic-instincts-5_939/index.html
Default,http://books.toscrape.com/media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg,0,£39.58,Two,In stock,Soul Reader,e6af5bf1163c1151,soul-reader_926/index.html
Spirituality,http://books.toscrape.com/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg,0,£32.24,Five,In stock,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
History,http://books.toscrape.com/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg,0,£19.73,One,In stock,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,a3d2a4250807f1e9,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
Add a comment,http://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg,0,£40.76,Three,In stock,The Art Forger,80cfab6bcff3a244,the-art-forger_930/index.html
Nonfiction,http://books.toscrape.com/media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg,0,£19.83,Two,In stock,Reskilling America: Learning to Labor in the Twenty-First Century,d7310206583a54b6,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
Sequential Art,http://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,0,£50.40,Three,In stock,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",c82a3e358c773c73,rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
Fantasy,http://books.toscrape.com/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg,0,£25.02,Three,In stock,"Saga, Volume 6 (Saga (Collected Editions) #6)",c849f0b2f5d6a742,saga-volume-6-saga-collected-editions-6_924/index.html
Sequential Art,http://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,0,£51.04,Two,In stock,"Saga, Volume 5 (Saga (Collected Editions) #5)",53a3d11bb568cc8b,saga-volume-5-saga-collected-editions-5_923/index.html
Fantasy,http://books.toscrape.com/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg,0,£13.34,Five,In stock,Princess Between Worlds (Wide-Awake Princess #5),0e691eda369f4e09,princess-between-worlds-wide-awake-princess-5_919/index.html
Sequential Art,http://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,0,£48.41,One,In stock,orange: The Complete Collection 1 (orange: The Complete Collection #1),11809b1d323b3057,orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
History,http://books.toscrape.com/media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg,0,£36.28,Two,In stock,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",7392c0032f92d816,political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Sequential Art,http://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,0,£15.44,Four,In stock,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",889139b8e9c4cb36,outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
Sequential Art,http://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,0,£10.16,Three,In stock,Patience,9429b4d59c537af5,patience_916/index.html
Sequential Art,http://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,0,£13.61,Five,In stock,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",0fa6dceead7ce47a,princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Young Adult,http://books.toscrape.com/media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg,0,£14.86,Two,In stock,Obsidian (Lux #1),3c346ab1e76ae1f6,obsidian-lux-1_911/index.html
Add a comment,http://books.toscrape.com/media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg,0,£14.07,Three,In stock,On a Midnight Clear,b757c0c361e689ce,on-a-midnight-clear_912/index.html
Food and Drink,http://books.toscrape.com/media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg,0,£33.37,Two,In stock,My Paris Kitchen: Recipes and Stories,784bc2279baa878d,my-paris-kitchen-recipes-and-stories_910/index.html
Self Help,http://books.toscrape.com/media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg,0,£46.35,One,In stock,Online Marketing for Busy Authors: A Step-By-Step Guide,9ffa38d3b832433a,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
Sequential Art,http://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,0,£19.92,Two,In stock,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),57e5a4d515c8ce44,lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
Sequential Art,http://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,0,£45.61,Three,In stock,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",b6ee99bcf06fc91f,lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Sequential Art,http://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,0,£46.91,Two,In stock,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",460089f796fb3f82,lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
Food and Drink,http://books.toscrape.com/media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg,0,£14.02,Four,In stock,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",72f9d5be3472d34e,mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
Sequential Art,http://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,0,£18.97,One,In stock,"Pop Gun War, Volume 1: Gift",e80f8e518b300dfe,pop-gun-war-volume-1-gift_918/index.html
Nonfiction,http://books.toscrape.com/media/cache/fe/ea/feeafd2ad7b3077f8e74cbb1da9e3c7d.jpg,0,£22.00,Four,In stock,In the Country We Love: My Family Divided,b136b1b180ca753a,in-the-country-we-love-my-family-divided_901/index.html
Science Fiction,http://books.toscrape.com/media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,0,£35.67,Five,In stock,Join,18ad3ed896c7ce05,join_902/index.html
Add a comment,http://books.toscrape.com/media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg,0,£53.90,Two,In stock,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),228f74b74f3a08ae,judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
Food and Drink,http://books.toscrape.com/media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg,0,£40.11,One,In stock,"Layered: Baking, Building, and Styling Spectacular Cakes",7b75cc7f223791f4,layered-baking-building-and-styling-spectacular-cakes_904/index.html
Fantasy,http://books.toscrape.com/media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg,0,£56.40,Two,In stock,Masks and Shadows,fa9610a50a1bf149,masks-and-shadows_909/index.html
Horror,http://books.toscrape.com/media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg,0,£39.25,Two,In stock,Security,6f78a0d744c35456,security_925/index.html
Romance,http://books.toscrape.com/media/cache/c4/d1/c4d1517cc9370e292366b6132ca9ca36.jpg,0,£15.97,Four,In stock,First and First (Five Boroughs #3),9e28048cea8d41f7,first-and-first-five-boroughs-3_893/index.html
Historical Fiction,http://books.toscrape.com/media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,0,£29.69,Three,In stock,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,9beb96a2300109d7,forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
Sequential Art,http://books.toscrape.com/media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg,0,£22.11,Two,In stock,"Giant Days, Vol. 2 (Giant Days #5-8)",f2df3bb043a8abb0,giant-days-vol-2-giant-days-5-8_895/index.html
Self Help,http://books.toscrape.com/media/cache/da/8b/da8bc9b824dd3f446ef63e438ddbfc85.jpg,0,£46.03,One,In stock,How to Be Miserable: 40 Strategies You Already Use,a6f99b9e687f9d46,how-to-be-miserable-40-strategies-you-already-use_897/index.html
Sequential Art,http://books.toscrape.com/media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg,0,£29.17,Two,In stock,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",8d4eefad7a2b3915,i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
Sequential Art,http://books.toscrape.com/media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg,0,£51.99,Four,In stock,Danganronpa Volume 1,09b6cc87e62c2c58,danganronpa-volume-1_889/index.html
Religion,http://books.toscrape.com/media/cache/95/30/953013d044aa313cc162dec414f3969a.jpg,0,£37.97,Two,In stock,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",fce19f9b4a943f22,dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
